ContractID,HostRegion,Product ID,Unit,USD List Price(per unit),USD List Price,USD Transfer Price(per unit),USD Transfer Price
SG8GQBXU,USA,USA-VM-0001-0002,1488,0.249000,370.512000,0.213000,316.944000
SG8GQBXU,USA,USA-VM-0001-0001,6696,0.125000,837.000000,0.106000,709.776000
SG8GQBXU,USA,USA-NW-0002-0001,744,0.036400,27.081600,0.023300,17.335200
SG8GQBXU,USA,USA-DK-0001-0001,96720,0.000250,24.180000,0.000210,20.311200
U146MG2K,USA,USA-IP-0001-0001,744,0.010000,7.440000,0.011000,8.184000
U146MG2K,USA,USA-DK-0003-0001,7440,0.000250,1.860000,0.000210,1.562400
U146MG2K,USA,USA-DK-0003-0002,7440,0.000250,1.860000,0.000210,1.562400
U146MG2K,USA,USA-SD-0001-0001,238080,0.000250,59.520000,0.000210,49.996800
U146MG2K,USA,USA-VM-0001-0001,4461,0.125000,557.625000,0.106000,472.866000
U146MG2K,USA,USA-DK-0002-0001,14880,0.000250,3.720000,0.000210,3.124800
U146MG2K,USA,USA-NW-0002-0001,1715,0.036400,62.426000,0.023300,39.959500
U146MG2K,USA,USA-DK-0001-0001,111600,0.000250,27.900000,0.000210,23.436000
UNDJAXL3,USA,USA-IP-0001-0001,157,0.010000,1.570000,0.011000,1.727000
UNDJAXL3,USA,USA-SD-0001-0001,12560,0.000250,3.140000,0.000210,2.637600
UNDJAXL3,USA,USA-VM-0001-0001,312,0.125000,39.000000,0.106000,33.072000
UNDJAXL3,USA,USA-NW-0001-0001,1,0.150000,0.150000,0.011000,0.011000
UNDJAXL3,USA,USA-NW-0002-0001,156,0.036400,5.678400,0.023300,3.634800
UNDJAXL3,USA,USA-DK-0001-0001,18840,0.000250,4.710000,0.000210,3.956400
VHE1NRXW,USA,USA-IP-0001-0001,16368,0.010000,163.680000,0.011000,180.048000
VHE1NRXW,USA,USA-NW-0001-0001,25,0.150000,3.750000,0.011000,0.275000
VHE1NRXW,USA,USA-DK-0003-0001,267840,0.000250,66.960000,0.000210,56.246400
VHE1NRXW,USA,USA-SD-0001-0001,1263240,0.000250,315.810000,0.000210,265.280400
VHE1NRXW,USA,USA-VM-0001-0002,2976,0.249000,741.024000,0.213000,633.888000
VHE1NRXW,USA,USA-VM-0001-0001,13392,0.125000,1674.000000,0.106000,1419.552000
VHE1NRXW,USA,USA-DK-0002-0001,386880,0.000250,96.720000,0.000210,81.244800
VHE1NRXW,USA,USA-NW-0002-0001,1488,0.036400,54.163200,0.023300,34.670400
VHE1NRXW,USA,USA-DK-0001-0001,529120,0.000250,132.280000,0.000210,111.115200
VHE1NRXW,USA,USA-VM-0001-0003,1488,0.497000,739.536000,0.425000,632.400000
YT8YONC6,USA,USA-IP-0001-0001,7440,0.010000,74.400000,0.011000,81.840000
YT8YONC6,USA,USA-SD-0001-0001,602720,0.000250,150.680000,0.000210,126.571200
YT8YONC6,USA,USA-VM-0001-0001,3,0.125000,0.375000,0.106000,0.318000
YT8YONC6,USA,USA-DK-0002-0001,44640,0.000250,11.160000,0.000210,9.374400
YT8YONC6,USA,USA-NW-0002-0001,1,0.036400,0.036400,0.023300,0.023300
YT8YONC6,USA,USA-DK-0001-0001,611080,0.000250,152.770000,0.000210,128.326800
