ContractID,HostRegion,Product ID,Unit,GBP List Price(per unit),GBP List Price,GBP Transfer Price(per unit),GBP Transfer Price
YNSEHOZH,UKI,UKI-VM-0001-0002,744,0.160000,119.040000,0.136500,101.556000
YNSEHOZH,-,Total,-,-,137.8836,-,116.1174

FoC ContractIDs
4NROXTG9,SIN,SIN-DK-0002-0001,29760,0.000300,8.928000,0.000130,3.868800
4NROXTG9,SIN,SIN-IP-0001-0001,1488,0.015900,23.659200,0.007100,10.564800
4NROXTG9,SIN,SIN-SD-0001-0001,59520,0.000300,17.856000,0.000130,7.737600
4U0IL7L1,UKI,UKI-NW-0001-0001,0,0.121000,0.000000,0.007100,0.000000
4U0IL7L1,UKI,UKI-DK-0002-0001,33980,0.000160,5.436800,0.000130,4.417400
4U0IL7L1,UKI,UKI-NW-0002-0001,311,0.023000,7.153000,0.014900,4.633900
4U0IL7L1,UKI,UKI-SD-0001-0001,42370,0.000160,6.779200,0.000130,5.508100
4U0IL7L1,UKI,UKI-DK-0001-0001,4610,0.000160,0.737600,0.000130,0.599300
4U0IL7L1,UKI,UKI-VM-0001-0001,697,0.080000,55.760000,0.067900,47.326300
4U0IL7L1,UKI,UKI-IP-0001-0001,710,0.008000,5.680000,0.007100,5.041000
67KN9RTV,UKI,UKI-NW-0001-0001,17,0.121000,2.057000,0.007100,0.120700
67KN9RTV,UKI,UKI-DK-0003-0001,2080,0.000160,0.332800,0.000130,0.270400
67KN9RTV,UKI,UKI-SD-0001-0001,29040,0.000160,4.646400,0.000130,3.775200
67KN9RTV,UKI,UKI-IP-0001-0001,424,0.008000,3.392000,0.007100,3.010400
67KN9RTV,UKI,UKI-VM-0001-0002,314,0.160000,50.240000,0.136500,42.861000
8ZGSB1JV,UKI,UKI-SD-0001-0001,19400,0.000160,3.104000,0.000130,2.522000
8ZGSB1JV,UKI,UKI-DK-0001-0001,1680,0.000160,0.268800,0.000130,0.218400
9S5A5QOD,UKI,UKI-VM-0001-0001,580,0.080000,46.400000,0.067900,39.382000
9S5A5QOD,UKI,UKI-IP-0001-0001,580,0.008000,4.640000,0.007100,4.118000
9S5A5QOD,UKI,UKI-SD-0001-0001,75400,0.000160,12.064000,0.000130,9.802000
9WTJ8UM0,UKI,UKI-NW-0001-0001,0,0.121000,0.000000,0.007100,0.000000
9WTJ8UM0,UKI,UKI-DK-0003-0001,1840,0.000160,0.294400,0.000130,0.239200
9WTJ8UM0,UKI,UKI-SD-0001-0001,1840,0.000160,0.294400,0.000130,0.239200
9WTJ8UM0,UKI,UKI-DK-0001-0001,4600,0.000160,0.736000,0.000130,0.598000
9WTJ8UM0,UKI,UKI-VM-0001-0001,42,0.080000,3.360000,0.067900,2.851800
9WTJ8UM0,UKI,UKI-DK-0003-0002,9200,0.000160,1.472000,0.000130,1.196000
9WTJ8UM0,UKI,UKI-IP-0001-0001,92,0.008000,0.736000,0.007100,0.653200
FZOXFIIS,UKI,UKI-IP-0001-0001,1488,0.008000,11.904000,0.007100,10.564800
FZOXFIIS,UKI,UKI-SD-0001-0001,238080,0.000160,38.092800,0.000130,30.950400
FZOXFIIS,UKI,UKI-DK-0001-0001,1495440,0.000160,239.270400,0.000130,194.407200
G6U479LU,UKI,UKI-VM-0001-0001,308,0.080000,24.640000,0.067900,20.913200
G6U479LU,UKI,UKI-DK-0002-0001,277980,0.000160,44.476800,0.000130,36.137400
G6U479LU,UKI,UKI-SD-0001-0001,313540,0.000160,50.166400,0.000130,40.760200
G6U479LU,UKI,UKI-DK-0001-0001,22320,0.000160,3.571200,0.000130,2.901600
