ContractID,HostRegion,Product ID,Unit,AUD List Price(per unit),AUD List Price,AUD Transfer Price(per unit),AUD Transfer Price
RQJ2PY22,AUS,AUS-VM-0001-0002,1488,0.243976,363.036288,0.207400,308.611200
RQJ2PY22,-,Total,-,-,1182.031992,-,1004.8255
ST6ZSNJ1,AUS,AUS-SD-0001-0001,29760,0.000235,6.993600,0.000200,5.952000
ST6ZSNJ1,AUS,AUS-NW-0001-0001,9,0.012600,0.113400,0.010700,0.096300
ST6ZSNJ1,AUS,AUS-IP-0001-0001,744,0.012600,9.374400,0.010700,7.960800
ST6ZSNJ1,AUS,AUS-VM-0001-0001,744,0.121416,90.333504,0.103200,76.780800
ST6ZSNJ1,-,Total,-,-,106.814904,-,90.7899
SUKVMW4E,AUS,AUS-SD-0001-0001,29760,0.000235,6.993600,0.000200,5.952000
SUKVMW4E,AUS,AUS-DK-0001-0001,372000,0.000235,87.420000,0.000200,74.400000
SUKVMW4E,AUS,AUS-NW-0001-0001,46,0.012600,0.579600,0.010700,0.492200
SUKVMW4E,AUS,AUS-IP-0001-0001,744,0.012600,9.374400,0.010700,7.960800
SUKVMW4E,AUS,AUS-VM-0001-0001,744,0.121416,90.333504,0.103200,76.780800
SUKVMW4E,-,Total,-,-,194.701104,-,165.5858
TAIQPJ4M,AUS,AUS-VM-0001-0003,6237,0.486808,3036.221496,0.413800,2580.870600
TAIQPJ4M,AUS,AUS-SD-0001-0001,1132400,0.000235,266.114000,0.000200,226.480000
TAIQPJ4M,AUS,AUS-VM-0001-0004,5952,0.973615,5794.956480,0.827600,4925.875200
TAIQPJ4M,AUS,AUS-DK-0001-0001,3190100,0.000235,749.673500,0.000200,638.020000
TAIQPJ4M,AUS,AUS-VM-0001-0011,2232,1.947230,4346.217360,1.655100,3694.183200
TAIQPJ4M,AUS,AUS-VM-0001-0002,4475,0.243976,1091.792600,0.207400,928.115000
TAIQPJ4M,AUS,AUS-VM-0001-0001,2232,0.121416,271.000512,0.103200,230.342400
TAIQPJ4M,-,Total,-,-,15555.975948,-,13223.8864
U4QT1ADB,AUS,AUS-SD-0001-0001,29760,0.000235,6.993600,0.000200,5.952000
U4QT1ADB,AUS,AUS-DK-0001-0001,44640,0.000235,10.490400,0.000200,8.928000
U4QT1ADB,AUS,AUS-IP-0001-0001,744,0.012600,9.374400,0.010700,7.960800
U4QT1ADB,-,Total,-,-,26.8584,-,22.8408
UI79TE48,AUS,AUS-DK-0003-0001,178560,0.000235,41.961600,0.000200,35.712000
UI79TE48,AUS,AUS-SD-0001-0001,453840,0.000235,106.652400,0.000200,90.768000
UI79TE48,AUS,AUS-DK-0002-0001,119040,0.000235,27.974400,0.000200,23.808000
UI79TE48,AUS,AUS-IP-0001-0001,7440,0.012600,93.744000,0.010700,79.608000
UI79TE48,AUS,AUS-DK-0003-0002,59520,0.000235,13.987200,0.000200,11.904000
UI79TE48,AUS,AUS-DK-0001-0001,855600,0.000235,201.066000,0.000200,171.120000
UI79TE48,AUS,AUS-NW-0001-0001,4,0.012600,0.050400,0.010700,0.042800
UI79TE48,AUS,AUS-VM-0001-0001,744,0.121416,90.333504,0.103200,76.780800
UI79TE48,-,Total,-,-,575.769504,-,489.7436
UZXC0GRT,AUS,AUS-SD-0001-0001,12840,0.000235,3.017400,0.000200,2.568000
UZXC0GRT,AUS,AUS-DK-0002-0001,14880,0.000235,3.496800,0.000200,2.976000
UZXC0GRT,AUS,AUS-IP-0001-0001,744,0.012600,9.374400,0.010700,7.960800
UZXC0GRT,AUS,AUS-VM-0001-0001,176,0.121416,21.369216,0.103200,18.163200
UZXC0GRT,-,Total,-,-,37.257816,-,31.668
WMW6MFEQ,AUS,AUS-DK-0002-0001,7440,0.000235,1.748400,0.000200,1.488000
WMW6MFEQ,AUS,AUS-SD-0001-0001,52080,0.000235,12.238800,0.000200,10.416000
WMW6MFEQ,AUS,AUS-DK-0001-0001,37200,0.000235,8.742000,0.000200,7.440000
WMW6MFEQ,AUS,AUS-IP-0001-0001,2232,0.012600,28.123200,0.010700,23.882400
WMW6MFEQ,-,Total,-,-,50.8524,-,43.2264
YHW6U0FX,AUS,AUS-DK-0003-0001,59520,0.000235,13.987200,0.000200,11.904000
YHW6U0FX,AUS,AUS-SD-0001-0001,148800,0.000235,34.968000,0.000200,29.760000
YHW6U0FX,AUS,AUS-IP-0001-0001,1488,0.012600,18.748800,0.010700,15.921600
YHW6U0FX,AUS,AUS-VM-0001-0004,744,0.973615,724.369560,0.827600,615.734400
YHW6U0FX,AUS,AUS-DK-0001-0001,2752800,0.000235,646.908000,0.000200,550.560000
YHW6U0FX,AUS,AUS-VM-0001-0011,744,1.947230,1448.739120,1.655100,1231.394400
YHW6U0FX,AUS,AUS-NW-0001-0001,0,0.012600,0.000000,0.010700,0.000000
YHW6U0FX,AUS,AUS-VM-0001-0001,744,0.121416,90.333504,0.103200,76.780800
YHW6U0FX,-,Total,-,-,2978.054184,-,2532.0552

FoC ContractIDs
5SQVXICG,AUS,AUS-VM-0001-0003,1488,0.486808,724.370304,0.413800,615.734400
5SQVXICG,AUS,AUS-SD-0001-0001,119040,0.000235,27.974400,0.000200,23.808000
5SQVXICG,AUS,AUS-DK-0001-0001,1582500,0.000235,371.887500,0.000200,316.500000
5SQVXICG,AUS,AUS-NW-0001-0001,121,0.012600,1.524600,0.010700,1.294700
5SQVXICG,AUS,AUS-IP-0001-0001,2232,0.012600,28.123200,0.010700,23.882400
5SQVXICG,AUS,AUS-VM-0001-0004,1319,0.973615,1284.198185,0.827600,1091.604400
5WKDS1WV,AUS,AUS-DK-0003-0001,15600,0.000235,3.666000,0.000200,3.120000
5WKDS1WV,AUS,AUS-SD-0001-0001,98830,0.000235,23.225050,0.000200,19.766000
5WKDS1WV,AUS,AUS-DK-0002-0001,31400,0.000235,7.379000,0.000200,6.280000
5WKDS1WV,AUS,AUS-IP-0001-0001,996,0.012600,12.549600,0.010700,10.657200
5WKDS1WV,AUS,AUS-DK-0003-0002,7780,0.000235,1.828300,0.000200,1.556000
5WKDS1WV,AUS,AUS-DK-0001-0001,14660,0.000235,3.445100,0.000200,2.932000
5WKDS1WV,AUS,AUS-NW-0001-0001,0,0.012600,0.000000,0.010700,0.000000
5WKDS1WV,AUS,AUS-VM-0001-0002,15,0.243976,3.659640,0.207400,3.111000
5WKDS1WV,AUS,AUS-VM-0001-0001,24,0.121416,2.913984,0.103200,2.476800
5X84VL0F,AUS,AUS-DK-0002-0001,7440,0.000235,1.748400,0.000200,1.488000
5X84VL0F,AUS,AUS-SD-0001-0001,37200,0.000235,8.742000,0.000200,7.440000
5X84VL0F,AUS,AUS-IP-0001-0001,744,0.012600,9.374400,0.010700,7.960800
8G4OFF7Z,AUS,AUS-DK-0002-0001,14880,0.000235,3.496800,0.000200,2.976000
BBR44JBS,AUS,AUS-IP-0001-0001,744,0.012600,9.374400,0.010700,7.960800
J36M6MCA,AUS,AUS-SD-0001-0001,96720,0.000235,22.729200,0.000200,19.344000
J36M6MCA,AUS,AUS-VM-0001-0001,2976,0.121416,361.334016,0.103200,307.123200
K2EULEOQ,AUS,AUS-DK-0003-0001,200880,0.000235,47.206800,0.000200,40.176000
K2EULEOQ,AUS,AUS-SD-0001-0001,66960,0.000235,15.735600,0.000200,13.392000
K2EULEOQ,AUS,AUS-DK-0001-0001,81840,0.000235,19.232400,0.000200,16.368000
K2EULEOQ,AUS,AUS-NW-0001-0001,0,0.012600,0.000000,0.010700,0.000000
K2EULEOQ,AUS,AUS-IP-0001-0001,744,0.012600,9.374400,0.010700,7.960800
K2EULEOQ,AUS,AUS-VM-0001-0001,2232,0.121416,271.000512,0.103200,230.342400
NWBMTWSD,AUS,AUS-DK-0003-0001,96720,0.000235,22.729200,0.000200,19.344000
NWBMTWSD,AUS,AUS-SD-0001-0001,1579225,0.000235,371.117875,0.000200,315.845000
NWBMTWSD,AUS,AUS-DK-0002-0001,253470,0.000235,59.565450,0.000200,50.694000
NWBMTWSD,AUS,AUS-IP-0001-0001,12648,0.012600,159.364800,0.010700,135.333600
NWBMTWSD,AUS,AUS-DK-0003-0002,40860,0.000235,9.602100,0.000200,8.172000
NWBMTWSD,AUS,AUS-NW-0002-0001,1045,0.026689,27.890005,0.022700,23.721500
NWBMTWSD,AUS,AUS-DK-0001-0001,484890,0.000235,113.949150,0.000200,96.978000
NWBMTWSD,AUS,AUS-NW-0001-0001,120,0.012600,1.512000,0.010700,1.284000
NWBMTWSD,AUS,AUS-VM-0001-0002,748,0.243976,182.494048,0.207400,155.135200
NWBMTWSD,AUS,AUS-VM-0001-0001,15949,0.121416,1936.463784,0.103200,1645.936800
TTNPS113,AUS,AUS-SD-0001-0001,7291,0.000235,1.713385,0.000200,1.458200
ZYZZ8X4J,AUS,AUS-VM-0001-0003,1488,0.486808,724.370304,0.413800,615.734400
ZYZZ8X4J,AUS,AUS-SD-0001-0001,244040,0.000235,57.349400,0.000200,48.808000
ZYZZ8X4J,AUS,AUS-IP-0001-0001,2232,0.012600,28.123200,0.010700,23.882400
ZYZZ8X4J,AUS,AUS-VM-0001-0004,744,0.973615,724.369560,0.827600,615.734400
ZYZZ8X4J,AUS,AUS-DK-0001-0001,1145780,0.000235,269.258300,0.000200,229.156000
ZYZZ8X4J,AUS,AUS-NW-0001-0001,537,0.012600,6.766200,0.010700,5.745900
ZYZZ8X4J,AUS,AUS-VM-0001-0002,2977,0.243976,726.316552,0.207400,617.429800
ZYZZ8X4J,AUS,AUS-VM-0001-0001,892,0.121416,108.303072,0.103200,92.054400
