seq,org_id,host_region,lead_region,cancelFlag,chargeable,register_date,update_date
80,AMITODHO,GB01,GB01,0,0,2013/4/15 00.00:00.000,2013/4/15 00.00:00.000
81,AT6X86YR,GB01,GB01,0,1,2013/4/15 00.00:00.000,2013/4/15 00.00:00.000
82,BAMV9J23,GB01,GB01,1,1,2013/4/15 00.00:00.000,2013/4/15 00.00:00.000
83,BGQ6KOFB,GB01,GB01,1,1,2013/4/15 00.00:00.000,2013/4/15 00.00:00.000
84,BJYB85FI,GB01,GB01,1,1,2013/4/15 00.00:00.000,2013/4/15 00.00:00.000
85,BOXY6WJO,GB01,GB01,0,1,2013/4/15 00.00:00.000,2013/4/15 00.00:00.000
86,BXST6RQU,GB01,GB01,0,1,2013/4/15 00.00:00.000,2013/4/15 00.00:00.000
87,BYALA0OP,GB01,GB01,0,1,2013/4/15 00.00:00.000,2013/4/15 00.00:00.000
88,C79P8O3C,GB01,GB01,0,1,2013/4/15 00.00:00.000,2013/4/15 00.00:00.000
89,CJ4L8G14,GB01,GB01,0,1,2013/4/15 00.00:00.000,2013/4/15 00.00:00.000
90,CJ4LJJZA,GB01,GB01,1,1,2013/4/15 00.00:00.000,2013/4/15 00.00:00.000
91,CMD47JCU,GB01,GB01,1,1,2013/4/15 00.00:00.000,2013/4/15 00.00:00.000
92,CWCEF1Y5,GB01,GB01,1,1,2013/4/15 00.00:00.000,2013/4/15 00.00:00.000
93,CZ1XAXOP,GB01,GB01,0,1,2013/4/15 00.00:00.000,2013/4/15 00.00:00.000
94,D0NM2UFD,GB01,GB01,0,1,2013/4/15 00.00:00.000,2013/4/15 00.00:00.000
95,DFWHTONM,GB01,GB01,0,1,2013/4/15 00.00:00.000,2013/4/15 00.00:00.000
96,DHIKJKQ0,GB01,GB01,0,0,2013/4/15 00.00:00.000,2013/4/15 00.00:00.000
97,DVXG28J4,GB01,GB01,0,1,2013/4/15 00.00:00.000,2013/4/15 00.00:00.000
98,E2TZRF5I,GB01,GB01,1,1,2013/4/15 00.00:00.000,2013/4/15 00.00:00.000
99,E7CP0AK8,GB01,GB01,1,1,2013/4/15 00.00:00.000,2013/4/15 00.00:00.000
100,EIOELL4N,GB01,GB01,0,1,2013/4/15 00.00:00.000,2013/4/15 00.00:00.000
101,EPAT7D7C,GB01,GB01,1,1,2013/4/15 00.00:00.000,2013/4/15 00.00:00.000
102,EZAW0LEO,GB01,GB01,1,1,2013/4/15 00.00:00.000,2013/4/15 00.00:00.000
103,F9E5SA4Y,GB01,GB01,1,1,2013/4/15 00.00:00.000,2013/4/15 00.00:00.000
104,FTWH4N6M,GB01,GB01,1,1,2013/4/15 00.00:00.000,2013/4/15 00.00:00.000
105,FZOXFIIS,GB01,GB01,0,0,2013/4/15 00.00:00.000,2013/4/15 00.00:00.000
106,G2BK42PB,GB01,GB01,0,1,2013/4/15 00.00:00.000,2013/4/15 00.00:00.000
107,G688BN1G,GB01,GB01,1,1,2013/4/15 00.00:00.000,2013/4/15 00.00:00.000
108,G6U479LU,GB01,GB01,0,0,2013/4/15 00.00:00.000,2013/4/15 00.00:00.000
109,GH9WNFD8,GB01,GB01,0,0,2013/4/15 00.00:00.000,2013/4/15 00.00:00.000
110,GJQH5BD1,GB01,GB01,0,0,2013/4/15 00.00:00.000,2013/4/15 00.00:00.000
111,GLI3HS1O,GB01,GB01,0,1,2013/4/15 00.00:00.000,2013/4/15 00.00:00.000
112,GPPUX7S4,GB01,GB01,1,1,2013/4/15 00.00:00.000,2013/4/15 00.00:00.000
113,GSQF1P6F,GB01,GB01,0,0,2013/4/15 00.00:00.000,2013/4/15 00.00:00.000
114,GVB0AFHJ,GB01,GB01,0,1,2013/4/15 00.00:00.000,2013/4/15 00.00:00.000
115,GZ68ZUS5,GB01,GB01,1,1,2013/4/15 00.00:00.000,2013/4/15 00.00:00.000
116,H1FMB1O9,GB01,JP01,0,1,2013/4/15 00.00:00.000,2013/4/15 00.00:00.000
117,H3XD9GEV,GB01,GB01,1,1,2013/4/15 00.00:00.000,2013/4/15 00.00:00.000
118,H9BR07AO,GB01,GB01,0,1,2013/4/15 00.00:00.000,2013/4/15 00.00:00.000
119,HKE5963T,GB01,GB01,0,0,2013/4/15 00.00:00.000,2013/4/15 00.00:00.000
120,HMN0QI4A,GB01,GB01,1,1,2013/4/15 00.00:00.000,2013/4/15 00.00:00.000
121,HUY66TTJ,GB01,GB01,1,1,2013/4/15 00.00:00.000,2013/4/15 00.00:00.000
122,HW967DX3,GB01,GB01,1,1,2013/4/15 00.00:00.000,2013/4/15 00.00:00.000
123,I5KBTJSQ,GB01,GB01,1,1,2013/4/15 00.00:00.000,2013/4/15 00.00:00.000
124,ID3AMENU,GB01,GB01,1,1,2013/4/15 00.00:00.000,2013/4/15 00.00:00.000
125,IGYPNAN8,GB01,GB01,0,1,2013/4/15 00.00:00.000,2013/4/15 00.00:00.000
126,IRK7FN22,GB01,GB01,0,1,2013/4/15 00.00:00.000,2013/4/15 00.00:00.000
127,IZ7AIRRN,GB01,GB01,0,1,2013/4/15 00.00:00.000,2013/4/15 00.00:00.000
128,J8IPUIKB,GB01,GB01,0,1,2013/4/15 00.00:00.000,2013/4/15 00.00:00.000
129,J8YJGGX5,GB01,GB01,0,0,2013/4/15 00.00:00.000,2013/4/15 00.00:00.000
130,JERZ4V8L,GB01,GB01,1,1,2013/4/15 00.00:00.000,2013/4/15 00.00:00.000
131,JG7WZASL,GB01,GB01,0,1,2013/4/15 00.00:00.000,2013/4/15 00.00:00.000
132,JYY1BNFF,GB01,GB01,0,1,2013/4/15 00.00:00.000,2013/4/15 00.00:00.000
133,K07MCWPZ,GB01,GB01,1,1,2013/4/15 00.00:00.000,2013/4/15 00.00:00.000
134,KBBERIUK,GB01,GB01,0,1,2013/4/15 00.00:00.000,2013/4/15 00.00:00.000
135,KBBUKWG4,GB01,GB01,1,1,2013/4/15 00.00:00.000,2013/4/15 00.00:00.000
136,KBZSJ8WK,GB01,GB01,1,0,2013/4/15 00.00:00.000,2013/4/15 00.00:00.000
137,KFR3TVO0,GB01,GB01,0,0,2013/4/15 00.00:00.000,2013/4/15 00.00:00.000
138,KIOFB0RH,GB01,GB01,1,1,2013/4/15 00.00:00.000,2013/4/15 00.00:00.000
139,KN1ZTXJL,GB01,GB01,0,1,2013/4/15 00.00:00.000,2013/4/15 00.00:00.000
140,KTHGEYNK,GB01,GB01,0,1,2013/4/15 00.00:00.000,2013/4/15 00.00:00.000
141,L62RIJ0V,GB01,GB01,0,1,2013/4/15 00.00:00.000,2013/4/15 00.00:00.000
142,L6I9RZ1J,GB01,GB01,0,0,2013/4/15 00.00:00.000,2013/4/15 00.00:00.000
143,L6IQUGTO,GB01,GB01,0,1,2013/4/15 00.00:00.000,2013/4/15 00.00:00.000
144,LBKCOJIS,GB01,GB01,0,1,2013/4/15 00.00:00.000,2013/4/15 00.00:00.000
145,LIISB01H,GB01,GB01,0,1,2013/4/15 00.00:00.000,2013/4/15 00.00:00.000
146,LKCBJYT1,GB01,GB01,0,1,2013/4/15 00.00:00.000,2013/4/15 00.00:00.000
147,LKH2VRRS,GB01,GB01,0,1,2013/4/15 00.00:00.000,2013/4/15 00.00:00.000
148,LQHXU8R9,GB01,GB01,0,0,2013/4/15 00.00:00.000,2013/4/15 00.00:00.000
149,LSWJ4KEY,GB01,GB01,0,1,2013/4/15 00.00:00.000,2013/4/15 00.00:00.000
150,LVONORZ4,GB01,GB01,0,0,2013/4/15 00.00:00.000,2013/4/15 00.00:00.000
151,LZLSH7YS,GB01,GB01,0,1,2013/4/15 00.00:00.000,2013/4/15 00.00:00.000
152,MET91U0N,GB01,GB01,0,1,2013/4/15 00.00:00.000,2013/4/15 00.00:00.000
153,MFSUSHIJ,GB01,GB01,0,0,2013/4/15 00.00:00.000,2013/4/15 00.00:00.000
154,MG9BP62H,GB01,GB01,0,1,2013/4/15 00.00:00.000,2013/4/15 00.00:00.000
155,MW07WPTA,GB01,GB01,0,1,2013/4/15 00.00:00.000,2013/4/15 00.00:00.000
156,MWX9ASCL,GB01,GB01,0,1,2013/4/15 00.00:00.000,2013/4/15 00.00:00.000
157,N2LZGLNK,GB01,GB01,0,1,2013/4/15 00.00:00.000,2013/4/15 00.00:00.000
158,N72RYIMS,GB01,GB01,0,1,2013/4/15 00.00:00.000,2013/4/15 00.00:00.000
159,N879XWDJ,GB01,GB01,0,0,2013/4/15 00.00:00.000,2013/4/15 00.00:00.000
160,NCJY7WCV,GB01,GB01,0,1,2013/4/15 00.00:00.000,2013/4/15 00.00:00.000
161,NIUTJAGH,GB01,GB01,1,1,2013/4/15 00.00:00.000,2013/4/15 00.00:00.000
162,NKRK32T4,GB01,GB01,0,1,2013/4/15 00.00:00.000,2013/4/15 00.00:00.000
163,NKY3QIXM,GB01,GB01,0,1,2013/4/15 00.00:00.000,2013/4/15 00.00:00.000
164,NMSWB51U,GB01,GB01,0,0,2013/4/15 00.00:00.000,2013/4/15 00.00:00.000
165,NNJYGGE1,GB01,GB01,0,0,2013/4/15 00.00:00.000,2013/4/15 00.00:00.000
166,NNQ7V054,GB01,GB01,0,1,2013/4/15 00.00:00.000,2013/4/15 00.00:00.000
167,NSACLG7Q,GB01,GB01,0,1,2013/4/15 00.00:00.000,2013/4/15 00.00:00.000
168,NYAM6KNG,GB01,GB01,0,0,2013/4/15 00.00:00.000,2013/4/15 00.00:00.000
169,O4AKTIU6,GB01,GB01,0,1,2013/4/15 00.00:00.000,2013/4/15 00.00:00.000
170,O4K39SX2,GB01,GB01,1,1,2013/4/15 00.00:00.000,2013/4/15 00.00:00.000
171,O556MYOC,GB01,GB01,0,1,2013/4/15 00.00:00.000,2013/4/15 00.00:00.000
172,O6S6Y9RA,GB01,GB01,1,1,2013/4/15 00.00:00.000,2013/4/15 00.00:00.000
173,OCFK8TCH,GB01,GB01,1,1,2013/4/15 00.00:00.000,2013/4/15 00.00:00.000
174,OGFTOKXD,GB01,GB01,1,1,2013/4/15 00.00:00.000,2013/4/15 00.00:00.000
175,OGWRLDHI,GB01,GB01,1,1,2013/4/15 00.00:00.000,2013/4/15 00.00:00.000
176,OWYJQHO4,GB01,GB01,1,1,2013/4/15 00.00:00.000,2013/4/15 00.00:00.000
177,OYR02S51,GB01,GB01,1,1,2013/4/15 00.00:00.000,2013/4/15 00.00:00.000
178,P3Q61RIV,GB01,GB01,1,1,2013/4/15 00.00:00.000,2013/4/15 00.00:00.000
179,PCWSESYO,GB01,GB01,0,1,2013/4/15 00.00:00.000,2013/4/15 00.00:00.000
180,PG5Y0BSU,GB01,GB01,1,1,2013/4/15 00.00:00.000,2013/4/15 00.00:00.000
181,PHMMW8PY,GB01,GB01,0,1,2013/4/15 00.00:00.000,2013/4/15 00.00:00.000
182,PJZB3WGX,GB01,GB01,0,0,2013/4/15 00.00:00.000,2013/4/15 00.00:00.000
183,PK701ZEU,GB01,GB01,1,1,2013/4/15 00.00:00.000,2013/4/15 00.00:00.000
184,PM28L6VZ,GB01,GB01,1,1,2013/4/15 00.00:00.000,2013/4/15 00.00:00.000
185,PQQB5AGC,GB01,GB01,1,1,2013/4/15 00.00:00.000,2013/4/15 00.00:00.000
186,PSYEMZQZ,GB01,GB01,1,1,2013/4/15 00.00:00.000,2013/4/15 00.00:00.000
187,PUAPBSOH,GB01,GB01,0,0,2013/4/15 00.00:00.000,2013/4/15 00.00:00.000
188,PVEF3X6V,GB01,GB01,1,1,2013/4/15 00.00:00.000,2013/4/15 00.00:00.000
189,Q12UCPJY,GB01,GB01,0,1,2013/4/15 00.00:00.000,2013/4/15 00.00:00.000
190,Q6OH4THV,GB01,GB01,0,1,2013/4/15 00.00:00.000,2013/4/15 00.00:00.000
191,QKNO841W,GB01,GB01,0,1,2013/4/15 00.00:00.000,2013/4/15 00.00:00.000
192,QVTAUUZ8,GB01,GB01,0,0,2013/4/15 00.00:00.000,2013/4/15 00.00:00.000
193,R2M98GHO,GB01,GB01,0,0,2013/4/15 00.00:00.000,2013/4/15 00.00:00.000
194,R33T9MU9,GB01,GB01,1,1,2013/4/15 00.00:00.000,2013/4/15 00.00:00.000
195,R4TV4RZ0,GB01,GB01,0,1,2013/4/15 00.00:00.000,2013/4/15 00.00:00.000
