PMJU8E02-EVMQNPXTO-S-0006,kvm_high_performance,,IMG_f3c827_WXT2EPWKF226CQO,40.0,islandb-cbrm
PMJU8E02-EVMQNPXTO-S-0002,2,,IMG_f3c827_0H36YEWR8,8.0,islandb-cbrm
9Z2MRKCY-FWOPAWU1Q-S-0010,1,jp-01-1-ps0000-08-15,Windows2008R2SP1EE_20121106,40.0,islandb-cbrm
PMJU8E02-EVMQNPXTO-S-0001,firewall,,IMG_f3c827_Z7HQLDGHB355M2O0,8.0,islandb-cbrm
PMJU8E02-BSJNNORKO-S-0003,1,,IMG_f3c827_71P704AFKOW,10.0,islandb-cbrm
PMJU8E02-BSJNNORKO-S-0005,1,,IMG_f3c827_71P704AFKOW,10.0,islandb-cbrm
PMJU8E02-BSJNNORKO-S-0002,kvm_economy,,IMG_f3c827_WXT2EPWKF226CQO,40.0,islandb-cbrm
PMJU8E02-BSJNNORKO-S-0004,kvm_economy,,IMG_f3c827_WXT2EPWKF226CQO,40.0,islandb-cbrm
PMJU8E02-BSJNNORKO-S-0001,firewall,,IMG_f3c827_Z7HQLDGHB355M2O0,8.0,islandb-cbrm
9Z2MRKCY-FWOPAWU1Q-S-0013,1,jp-01-1-ps0000-08-15,RationalFunctional_20121106,40.0,islandb-cbrm
PMJU8E02-5MDUFE7F4-S-0002,1,,IMG_f3c827_71P704AFKOW,10.0,islandb-cbrm
PH6X30ND-M3VXSUDIB-S-0002,2,,IMG_f3c827_0H36YEWR8,8.0,islandb-cbrm
PMJU8E02-4LCJ6GKFE-S-0002,1,,IMG_f3c827_P9IB2MP8VZEKU8,40.0,islandb-cbrm
PH6X30ND-O5WMRNZZM-S-0002,2,,IMG_f3c827_0H36YEWR8,8.0,islandb-cbrm
PH6X30ND-M3VXSUDIB-S-0003,2,,IMG_f3c827_0H36YEWR8,8.0,islandb-cbrm
PH6X30ND-M3VXSUDIB-S-0004,2,,IMG_f3c827_0H36YEWR8,8.0,islandb-cbrm
PMJU8E02-5MDUFE7F4-S-0001,firewall,,IMG_f3c827_Z7HQLDGHB355M2O0,8.0,islandb-cbrm
PMJU8E02-4LCJ6GKFE-S-0001,firewall,,IMG_f3c827_Z7HQLDGHB355M2O0,8.0,islandb-cbrm
PH6X30ND-R8Z61UVRL-S-0001,firewall,,IMG_f3c827_Z7HQLDGHB355M2O0,8.0,islandb-cbrm
PH6X30ND-R8Z61UVRL-S-0002,1,,IMG_FBFYMYDMZXVBZU5RJHPX,40.0,islandb-cbrm
MGM2D8H1-XE624VACR-S-0001,firewall,jp-01-1-ps0000-08-11,IMG_f3c827_Z7HQLDGHB355M2O0,8.0,islanda-cbrm
LVDMJL47-HYK7695MS-S-0033,2,jp-01-1-ps0000-08-09,IMG_f3c827_Y3RRKCRMI6QAJX1C,10.0,islanda-cbrm
LVDMJL47-HYK7695MS-S-0035,4,jp-01-1-ps0000-08-11,IMG_f3c827_BR6MBB1GCG0,10.0,islanda-cbrm
LVDMJL47-HYK7695MS-S-0034,2,jp-01-1-ps0000-08-11,IMG_f3c827_GO5VSJCED3B4,10.0,islanda-cbrm
LVDMJL47-HYK7695MS-S-0036,2,jp-01-1-ps0000-08-09,IMG_f3c827_FC0ZYLUUJ3SW,10.0,islanda-cbrm
LVDMJL47-HYK7695MS-S-0032,2,jp-01-1-ps0000-08-11,IMG_f3c827_VGW78YI4UBSVK74,10.0,islanda-cbrm
96TFSMXJ-ARIVC1GC5-S-0002,1,,IMG_f3c827_M16Z7XR4BB9VR4,10.0,islanda-cbrm
LMK6NLBK-9QG1MQ5Q5-S-0002,1,,IMG_f3c827_N2DYJ79K4K64G0,40.0,islanda-cbrm
